title,author,rating,reviews_count,isbn10,price,company
Nothing Lasts Forever,Sheldon Sidney,4.5,590,8172234856,280.0,Flipkart
Harry Potter and the Goblet of Fire,J. K. Rowling,4.7,2751,1408855682,524.0,Flipkart
Peaks and Valleys,Johnson,4.7,50,1847396488,109.0,Flipkart
Attitude is Everything,P. Geetha' and  ' Jeff Keller,4.3,31,8182747252,148.0,Flipkart
DORK Diaries : Frenemies Forever,Rachel Renee Russell,4.4,225,1471158039,172.0,Flipkart
Dork Diaries: Holiday Heartbreak,Russell Rachel Renee,4.5,8,1471144771,245.0,Flipkart
Dork Diaries: Crush Catastrophe - Tales From a not - so - fabulous Life,Russell Rachel Renee,4.7,169,1471168018,191.0,Flipkart
Dork Diaries: TV Star,Russell Rachel Renee,4.6,82,1471143953,203.0,Flipkart
Understanding Exposure- Fourth Edition,Peterson Bryan,4.6,18,1607748509,633.0,Flipkart
The Digital Photography Handbook,Harman Doug,4.348216833095578,0,1786481324,449.0,Flipkart
Big Data,Mayer-Schonberger Viktor,4.3,64,1848547927,275.0,Flipkart
Photography: The Definitive Visual History,Tom Ang,4.5,2,1409346455,1581.0,Flipkart
Stretch Your Technology Email,Fadia Ankit,3.9,17,9385152459,81.0,Flipkart
Digital Photography for Beginners,Pierce Angela,4.348216833095578,0,1681858711,349.0,Flipkart
Valley of Genius - The Uncensored History of Silicon Valley,Adam Fisher,4.6,7,1538714493,429.0,Flipkart
So You Want to Know about Economics,Pai Roopa,4.4,172,8129145197,118.0,Flipkart
FAULT LINES,Raghuram Rajan,4.6,438,9350291738,311.0,Flipkart
UGC NET Economics,Sunder Gopal Mishra' and  ' Athar Imam Raza,3.8,91,9312146440,351.0,Flipkart
15 Sample Question Papers Economics Class 12 CBSE,Arihant Experts,4.6,103,9313166046,139.0,Flipkart
All in One Economics Class 11th,unknown,4.2,157,9312148389,315.0,Flipkart
CBSE Chapterwise Solved Papers Economics Class 12,Arihant Expert,4.6,242,9313161451,159.0,Flipkart
15 Sample Question Papers Economic Class 11 CBSE,Arihant Experts,4.6,16,9313166208,109.0,Flipkart
PGT Self Prepration Guide Economics Recruitment Examination,Arihant Experts,4.1,39,9312144960,227.0,Flipkart
All In One Economics CBSE Class 12,Arihant Experts,4.6,226,9312149083,195.0,Flipkart
Objective Economics,Sanjay Kumar,4.1,17,9350126672,147.0,Flipkart
Mastering The Market Cycle,Howard Marks,4.5,16,1473680379,699.0,Flipkart
Indian Economy,unknown,4.1,166,9352531299,499.0,Flipkart
EAD 15+1 CBSE Sample papers for class 12 Economics for 2019 examination,Rachna Sagar Expart Panal,4.7,18,9387984532,156.0,Flipkart
Xam Idea Economic Class 12,Editorial Board,4.6,35,9387958477,365.0,Flipkart
The most important thing,Marks Howard,4.7,22,9353022797,238.0,Flipkart
CAPITAL (DAS KAPITAL),Karl Marx,4.3,251,8175994142,378.0,Flipkart
India After Gandhi - The History of the World's Largest Democracy - The History of the World's Largest Democracy,unknown,4.6,1117,9382616977,477.0,Flipkart
Advanced Economic Theory Microeconomic Analysis,H L Ahuja,4.5,50,9352533321,699.0,Flipkart
